,notreid,fungi_class
230,468,Fungi
231,469,Fungi
232,470,Fungi
233,471,Fungi
234,472,Fungi
235,473,Fungi
236,474,Fungi
237,475,Fungi
238,476,Fungi
239,477,Fungi
240,478,Fungi
241,479,Fungi
242,480,Fungi
243,481,Fungi
244,482,Fungi
245,483,Fungi
246,484,Fungi
247,485,Fungi
248,486,Fungi
249,493,Fungi
250,494,Fungi
251,495,Fungi
252,496,Fungi
253,497,Fungi
254,498,Fungi
255,499,Fungi
256,500,Fungi
257,501,Fungi
258,502,Fungi
259,503,Fungi
260,504,Fungi
261,505,Fungi
262,506,Fungi
263,507,Fungi
264,508,Fungi
265,509,Fungi
266,510,Fungi
267,511,Fungi
268,513,Fungi
269,514,Fungi
270,515,Fungi
271,516,Fungi
272,517,Fungi
273,518,Fungi
274,519,Fungi
275,520,Fungi
276,522,Fungi
277,523,Fungi
278,524,Fungi
279,525,Fungi
280,526,Fungi
281,527,Fungi
282,528,Fungi
283,529,Fungi
284,530,Fungi
285,531,Fungi
286,532,Fungi
287,536,Fungi
288,542,Fungi
289,543,Fungi
290,547,Fungi
291,548,Fungi
292,550,Fungi
293,551,Fungi
294,552,Fungi
295,553,Fungi
296,554,Fungi
297,555,Fungi
298,556,NotFungi
299,557,NotFungi
300,561,Fungi
301,562,NotFungi
302,563,NotFungi
303,564,NotFungi
304,565,Fungi
305,569,Fungi
306,570,Fungi
307,571,NotFungi
308,572,Fungi
309,573,NotFungi
310,574,NotFungi
311,575,Fungi
312,577,NotFungi
313,578,NotFungi
314,579,NotFungi
315,581,NotFungi
316,583,Fungi
317,588,NotFungi
318,590,NotFungi
319,593,NotFungi
320,594,NotFungi
321,595,NotFungi
322,596,NotFungi
323,600,NotFungi
324,601,NotFungi
325,604,NotFungi
326,605,NotFungi
327,608,NotFungi
328,609,NotFungi
329,610,NotFungi
330,612,Fungi
331,613,Fungi
332,616,NotFungi
333,618,NotFungi
334,619,NotFungi
335,620,NotFungi
336,624,NotFungi
337,625,Fungi
338,626,Fungi
339,627,Fungi
340,628,Fungi
341,629,Fungi
342,630,Fungi
343,631,Fungi
344,632,Fungi
345,634,Fungi
346,635,NotFungi
347,637,Fungi
348,638,NotFungi
349,639,Fungi
350,640,NotFungi
351,642,Fungi
352,643,Fungi
353,644,NotFungi
354,645,Fungi
355,646,NotFungi
356,650,NotFungi
357,653,NotFungi
358,654,Fungi
359,657,NotFungi
360,658,NotFungi
361,659,NotFungi
362,660,Fungi
363,666,NotFungi
364,667,NotFungi
365,668,NotFungi
366,669,NotFungi
367,670,NotFungi
368,671,NotFungi
369,672,Fungi
370,673,NotFungi
371,674,Fungi
372,675,NotFungi
373,676,NotFungi
374,677,NotFungi
375,678,NotFungi
376,680,NotFungi
377,681,Fungi
378,682,Fungi
379,684,NotFungi
380,685,NotFungi
381,686,NotFungi
382,687,NotFungi
383,690,NotFungi
384,694,Fungi
385,695,Fungi
386,696,Fungi
387,697,NotFungi
388,700,NotFungi
389,701,NotFungi
390,703,NotFungi
391,704,NotFungi
392,705,Fungi
393,706,Fungi
394,707,NotFungi
395,710,Fungi
396,713,Fungi
397,714,Fungi
398,715,NotFungi
399,716,NotFungi
400,717,NotFungi
401,718,NotFungi
402,719,NotFungi
403,721,NotFungi
404,723,Fungi
405,724,NotFungi
406,725,Fungi
407,726,NotFungi
408,728,NotFungi
409,730,Fungi
410,731,NotFungi
411,733,NotFungi
412,734,NotFungi
413,735,NotFungi
414,736,Fungi
415,737,Fungi
416,738,NotFungi
417,739,NotFungi
418,740,Fungi
419,741,Fungi
420,744,NotFungi
421,746,NotFungi
422,747,Fungi
423,748,Fungi
424,749,Fungi
425,751,NotFungi
426,752,NotFungi
427,756,NotFungi
428,757,NotFungi
429,759,NotFungi
430,760,Fungi
431,761,NotFungi
432,762,NotFungi
433,763,NotFungi
434,764,NotFungi
435,770,Fungi
436,771,Fungi
437,772,Fungi
438,773,Fungi
439,775,NotFungi
440,776,Fungi
441,777,NotFungi
442,778,NotFungi
443,784,NotFungi
444,785,Fungi
445,786,NotFungi
446,787,NotFungi
447,788,NotFungi
448,789,Fungi
449,794,NotFungi
450,796,Fungi
451,797,Fungi
452,798,NotFungi
453,799,NotFungi
454,801,NotFungi
455,803,NotFungi
456,804,Fungi
457,805,Fungi
458,806,NotFungi
459,807,NotFungi
460,808,NotFungi
461,810,NotFungi
462,812,Fungi
463,813,Fungi
464,814,Fungi
465,815,Fungi
466,818,NotFungi
467,819,Fungi
468,820,Fungi
469,821,NotFungi
470,822,NotFungi
471,823,Fungi
472,825,NotFungi
473,829,Fungi
474,830,Fungi
475,835,NotFungi
476,836,Fungi
477,838,NotFungi
478,840,NotFungi
479,844,Fungi
480,846,NotFungi
481,847,NotFungi
482,848,NotFungi
483,849,NotFungi
484,850,NotFungi
485,852,NotFungi
486,856,NotFungi
487,857,NotFungi
488,859,Fungi
489,860,Fungi
490,863,NotFungi
491,866,NotFungi
492,870,NotFungi
493,871,NotFungi
494,872,Fungi
495,873,NotFungi
496,874,NotFungi
497,875,Fungi
498,877,NotFungi
499,881,NotFungi
500,882,Fungi
501,883,NotFungi
502,887,NotFungi
503,890,NotFungi
504,891,NotFungi
505,897,NotFungi
506,898,NotFungi
507,899,NotFungi
508,900,NotFungi
509,905,Fungi
510,908,NotFungi
511,909,NotFungi
512,912,NotFungi
513,913,NotFungi
514,915,NotFungi
515,926,Fungi
516,927,Fungi
517,928,Fungi
518,930,Fungi
519,931,NotFungi
520,932,NotFungi
521,933,NotFungi
522,934,NotFungi
523,935,NotFungi
524,936,Fungi
525,937,Fungi
526,939,NotFungi
527,941,Fungi
528,942,NotFungi
529,943,Fungi
530,944,NotFungi
531,947,NotFungi
532,950,Fungi
533,952,NotFungi
534,953,NotFungi
535,955,NotFungi
536,956,NotFungi
537,958,Fungi
538,959,Fungi
539,962,NotFungi
540,963,NotFungi
541,968,Fungi
542,969,NotFungi
543,972,NotFungi
544,973,NotFungi
545,974,NotFungi
546,975,NotFungi
547,977,Fungi
548,978,Fungi
549,979,Fungi
550,980,Fungi
551,981,NotFungi
552,982,Fungi
553,985,Fungi
554,986,NotFungi
555,987,NotFungi
556,988,NotFungi
557,990,Fungi
558,991,Fungi
559,992,NotFungi
560,994,Fungi
561,996,Fungi
562,997,Fungi
563,998,Fungi
564,999,NotFungi
565,1001,Fungi
566,1002,Fungi
567,1003,Fungi
568,1004,NotFungi
569,1005,NotFungi
570,1006,Fungi
571,1007,NotFungi
572,1008,NotFungi
573,1011,NotFungi
574,1012,Fungi
575,1013,NotFungi
576,1014,NotFungi
577,1015,NotFungi
578,1016,Fungi
579,1017,NotFungi
580,1019,NotFungi
581,1020,NotFungi
582,1021,NotFungi
583,1028,NotFungi
584,1030,NotFungi
585,1035,Fungi
586,1036,NotFungi
587,1038,NotFungi
588,1040,Fungi
589,1041,NotFungi
590,1043,NotFungi
591,1044,Fungi
592,1045,Fungi
593,1046,Fungi
594,1052,Fungi
595,1053,NotFungi
596,1054,NotFungi
597,1055,NotFungi
598,1059,Fungi
599,1060,NotFungi
600,1063,Fungi
601,1064,NotFungi
602,1065,NotFungi
603,1067,Fungi
604,1068,NotFungi
605,1072,NotFungi
606,1073,NotFungi
607,1074,NotFungi
608,1075,NotFungi
609,1076,NotFungi
610,1077,NotFungi
611,1078,NotFungi
612,1079,NotFungi
613,1080,NotFungi
614,1083,NotFungi
615,1084,NotFungi
616,1085,Fungi
617,1086,Fungi
618,1087,NotFungi
619,1092,NotFungi
620,1093,NotFungi
621,1094,NotFungi
622,1095,NotFungi
623,1097,Fungi
624,1098,NotFungi
625,1100,NotFungi
626,1101,NotFungi
627,1104,Fungi
628,1105,NotFungi
629,1109,NotFungi
630,1110,NotFungi
631,1113,NotFungi
632,1114,NotFungi
633,1115,NotFungi
634,1117,Fungi
635,1119,Fungi
636,1120,Fungi
637,1122,NotFungi
638,1125,Fungi
639,1126,NotFungi
640,1127,NotFungi
641,1128,Fungi
642,1129,NotFungi
643,1130,Fungi
644,1132,Fungi
645,1134,Fungi
646,1136,NotFungi
647,1137,Fungi
648,1138,Fungi
649,1139,Fungi
650,1142,NotFungi
651,1143,NotFungi
652,1146,NotFungi
653,1147,Fungi
654,1148,Fungi
655,1149,NotFungi
656,1151,Fungi
657,1153,NotFungi
658,1154,NotFungi
659,1155,Fungi
660,1157,NotFungi
661,1160,NotFungi
662,1166,NotFungi
663,1167,NotFungi
664,1169,NotFungi
665,1172,NotFungi
666,1173,Fungi
667,1174,Fungi
668,1175,Fungi
669,1176,Fungi
670,1177,Fungi
671,1178,NotFungi
672,1182,NotFungi
673,1183,NotFungi
674,1184,NotFungi
675,1186,NotFungi
676,1187,NotFungi
677,1188,NotFungi
678,1190,NotFungi
679,1192,Fungi
680,1193,NotFungi
681,1194,NotFungi
682,1195,NotFungi
683,1196,NotFungi
684,1197,NotFungi
685,1201,NotFungi
686,1202,NotFungi
687,1203,NotFungi
688,1204,NotFungi
689,1205,Fungi
690,1206,NotFungi
691,1207,Fungi
692,1208,NotFungi
693,1209,Fungi
694,1210,NotFungi
695,1211,NotFungi
696,1212,NotFungi
697,1214,Fungi
698,1215,NotFungi
699,1217,NotFungi
700,1218,Fungi
701,1219,NotFungi
702,1220,NotFungi
703,1222,NotFungi
704,18839,Fungi
705,18840,Fungi
706,18841,NotFungi
707,18842,NotFungi
708,18844,Fungi
709,18845,Fungi
710,18847,Fungi
711,18849,NotFungi
712,18850,NotFungi
713,18851,NotFungi
714,18852,Fungi
715,18853,Fungi
716,18854,NotFungi
717,18861,Fungi
718,18862,NotFungi
719,18866,NotFungi
720,18867,NotFungi
721,18868,NotFungi
722,18869,Fungi
723,18870,NotFungi
724,18871,NotFungi
725,18872,NotFungi
726,18874,Fungi
727,18877,NotFungi
728,18878,Fungi
729,18882,Fungi
730,18885,NotFungi
731,18886,NotFungi
732,18887,NotFungi
733,18888,NotFungi
734,18890,NotFungi
735,18891,Fungi
736,18892,Fungi
737,18894,NotFungi
738,18897,NotFungi
739,18899,NotFungi
740,18901,Fungi
741,18902,Fungi
742,18903,Fungi
743,18904,NotFungi
744,18905,NotFungi
745,18909,Fungi
746,18912,NotFungi
747,18913,NotFungi
748,18914,NotFungi
749,18915,NotFungi
750,18916,Fungi
751,18917,Fungi
752,18918,NotFungi
753,18919,Fungi
754,18920,NotFungi
755,18921,NotFungi
756,18923,Fungi
757,18926,Fungi
758,18927,Fungi
759,18928,Fungi
760,18929,Fungi
761,18930,Fungi
762,18931,NotFungi
763,18939,Fungi
764,18940,NotFungi
765,18941,NotFungi
766,18945,NotFungi
767,18946,NotFungi
768,18947,NotFungi
769,18948,NotFungi
770,18949,Fungi
771,18950,NotFungi
772,18953,NotFungi
773,18956,Fungi
774,18957,Fungi
775,18958,NotFungi
776,18959,Fungi
777,18964,NotFungi
778,18965,NotFungi
779,18966,Fungi
780,18967,Fungi
781,18968,Fungi
782,18974,Fungi
783,18975,Fungi
784,18976,Fungi
785,18978,Fungi
786,18979,NotFungi
787,18982,Fungi
788,18983,Fungi
789,18984,Fungi
790,18986,NotFungi
791,18992,Fungi
792,18994,NotFungi
793,18996,Fungi
794,18997,NotFungi
795,18998,NotFungi
796,19000,NotFungi
797,19001,Fungi
798,19002,Fungi
799,19004,NotFungi
800,19005,NotFungi
801,19006,NotFungi
802,19007,NotFungi
803,19008,NotFungi
804,19009,Fungi
805,19010,Fungi
806,19011,NotFungi
807,19012,NotFungi
808,19013,Fungi
809,19014,Fungi
810,19015,NotFungi
811,19016,NotFungi
812,19017,Fungi
813,19018,Fungi
814,19019,Fungi
815,19020,Fungi
816,19021,Fungi
817,19022,NotFungi
818,19024,NotFungi
819,19028,NotFungi
820,19029,NotFungi
821,19030,NotFungi
822,19032,Fungi
823,19033,Fungi
824,19034,NotFungi
825,19035,NotFungi
826,19037,NotFungi
827,19038,NotFungi
828,19039,NotFungi
829,19042,Fungi
830,19043,Fungi
831,19044,Fungi
832,19045,Fungi
833,19047,Fungi
834,19048,Fungi
835,19052,NotFungi
836,19053,NotFungi
837,19057,NotFungi
838,19060,NotFungi
839,19061,Fungi
840,19062,NotFungi
841,19063,NotFungi
842,19064,Fungi
843,19066,NotFungi
844,19067,NotFungi
845,19069,NotFungi
846,19072,NotFungi
847,19074,NotFungi
848,19075,NotFungi
849,19076,NotFungi
850,19077,NotFungi
851,19078,Fungi
852,19080,NotFungi
853,19083,NotFungi
854,19084,Fungi
855,19085,NotFungi
856,19086,NotFungi
857,19087,NotFungi
858,19088,Fungi
859,19091,NotFungi
860,19092,Fungi
861,19093,NotFungi
862,19095,NotFungi
863,19099,NotFungi
864,19101,Fungi
865,19105,NotFungi
866,19106,NotFungi
867,19107,NotFungi
868,19109,NotFungi
869,19115,NotFungi
870,19116,NotFungi
871,19117,NotFungi
872,19119,NotFungi
873,19120,NotFungi
874,19121,Fungi
875,19122,Fungi
876,19123,NotFungi
877,19125,NotFungi
878,19126,NotFungi
879,19127,NotFungi
880,19130,NotFungi
881,19131,NotFungi
882,19134,NotFungi
883,19136,Fungi
884,19138,Fungi
885,19139,Fungi
886,19141,NotFungi
887,19142,NotFungi
888,19144,NotFungi
889,19150,NotFungi
890,19151,NotFungi
891,19152,NotFungi
892,19153,NotFungi
893,19160,NotFungi
894,19164,NotFungi
895,19165,NotFungi
896,19166,NotFungi
897,19167,NotFungi
898,19168,NotFungi
899,19169,Fungi
900,19170,Fungi
901,19171,Fungi
902,19173,NotFungi
903,19181,Fungi
904,19182,NotFungi
905,19183,NotFungi
906,19184,NotFungi
907,19186,NotFungi
908,19187,NotFungi
909,19189,NotFungi
910,19193,Fungi
911,19194,NotFungi
912,19195,NotFungi
913,19196,NotFungi
914,19200,NotFungi
915,19201,Fungi
916,19202,Fungi
917,19203,Fungi
918,19204,Fungi
919,19205,NotFungi
920,19209,NotFungi
921,19215,Fungi
922,19217,Fungi
923,19218,Fungi
924,19220,Fungi
925,19221,NotFungi
926,19222,Fungi
927,19223,Fungi
928,19224,NotFungi
929,19225,NotFungi
930,19226,NotFungi
931,19227,NotFungi
932,19228,NotFungi
933,19229,NotFungi
934,19230,Fungi
935,19231,Fungi
936,19236,Fungi
937,19239,NotFungi
938,19242,NotFungi
939,19243,NotFungi
940,19244,Fungi
941,19246,NotFungi
942,19249,Fungi
943,19250,Fungi
944,19251,Fungi
945,19252,Fungi
946,19253,Fungi
947,19254,Fungi
948,19259,NotFungi
949,19260,NotFungi
950,19263,Fungi
951,19264,Fungi
952,19265,Fungi
953,19266,Fungi
954,19269,NotFungi
955,19270,NotFungi
956,19271,NotFungi
957,19272,NotFungi
958,19273,NotFungi
959,19274,NotFungi
960,19279,NotFungi
961,19286,NotFungi
962,19287,NotFungi
963,19292,NotFungi
964,19294,NotFungi
965,19297,Fungi
966,19299,NotFungi
967,19300,NotFungi
968,19301,NotFungi
969,19302,NotFungi
970,19303,NotFungi
971,19306,NotFungi
972,19308,Fungi
973,19310,NotFungi
974,19311,NotFungi
975,19312,NotFungi
976,19314,NotFungi
977,19315,Fungi
978,19316,NotFungi
979,19317,NotFungi
980,19320,Fungi
981,19322,NotFungi
982,19323,NotFungi
983,19325,NotFungi
984,19329,Fungi
985,19332,Fungi
986,19333,NotFungi
987,19335,NotFungi
988,19336,Fungi
989,19337,Fungi
990,19339,NotFungi
991,19344,NotFungi
992,19347,NotFungi
993,19350,Fungi
994,19351,NotFungi
995,19352,NotFungi
996,19353,NotFungi
997,19355,NotFungi
998,19358,NotFungi
999,19360,NotFungi
1000,19362,NotFungi
1001,19363,NotFungi
1002,19364,NotFungi
1003,19365,Fungi
1004,19366,Fungi
1005,19370,NotFungi
1006,19371,Fungi
1007,19372,Fungi
1008,19373,NotFungi
1009,19376,Fungi
1010,19380,Fungi
1011,19381,NotFungi
1012,19385,NotFungi
1013,19386,NotFungi
1014,19388,NotFungi
1015,19389,Fungi
1016,19390,Fungi
1017,19391,NotFungi
1018,19392,NotFungi
1019,19394,Fungi
1020,19396,NotFungi
1021,19397,Fungi
1022,19398,Fungi
1023,19400,Fungi
1024,19401,Fungi
1025,19402,NotFungi
1026,19403,NotFungi
1027,19406,Fungi
1028,19410,Fungi
1029,19411,NotFungi
1030,19412,Fungi
1031,19413,NotFungi
1032,19417,Fungi
1033,19418,Fungi
1034,19419,Fungi
1035,19422,Fungi
1036,19423,NotFungi
1037,19424,NotFungi
1038,19425,NotFungi
1039,19426,Fungi
1040,19433,NotFungi
1041,19437,NotFungi
1042,19440,NotFungi
1043,19448,Fungi
1044,19449,Fungi
1045,19450,Fungi
1046,19451,NotFungi
1047,19452,NotFungi
1048,19453,NotFungi
1049,19454,NotFungi
1050,19455,NotFungi
1051,19456,NotFungi
1052,19457,NotFungi
1053,19460,Fungi
1054,19463,NotFungi
1055,19466,Fungi
1056,19470,NotFungi
1057,19471,Fungi
1058,19472,Fungi
1059,19473,NotFungi
1060,19474,NotFungi
1061,19475,NotFungi
1062,19476,Fungi
1063,19477,NotFungi
1064,19478,NotFungi
1065,19486,Fungi
1066,19487,Fungi
1067,19488,Fungi
1068,19490,Fungi
1069,19491,NotFungi
1070,19492,NotFungi
1071,19493,NotFungi
1072,19494,NotFungi
1073,19495,NotFungi
1074,19496,Fungi
1075,19497,Fungi
1076,19498,Fungi
1077,19500,NotFungi
1078,19502,NotFungi
1079,19503,NotFungi
1080,19505,NotFungi
1081,19506,Fungi
1082,19508,NotFungi
1083,19509,NotFungi
1084,19511,Fungi
1085,19512,Fungi
1086,19513,Fungi
1087,19514,NotFungi
1088,19515,Fungi
1089,19516,Fungi
1090,19517,Fungi
1091,19519,NotFungi
1092,19520,Fungi
1093,19521,Fungi
1094,19522,NotFungi
1095,19526,NotFungi
1096,19528,NotFungi
1097,19529,NotFungi
1098,19530,Fungi
1099,19531,NotFungi
1100,19537,NotFungi
1101,19538,NotFungi
1102,19540,NotFungi
1103,19541,NotFungi
1104,19542,NotFungi
1105,19544,NotFungi
1106,19545,NotFungi
1107,19546,NotFungi
1108,19547,Fungi
1109,19548,NotFungi
1110,19549,Fungi
1111,19550,NotFungi
1112,19552,Fungi
1113,19554,Fungi
1114,19555,Fungi
1115,19556,NotFungi
1116,19558,NotFungi
1117,19559,NotFungi
1118,19560,Fungi
1119,19565,Fungi
1120,19566,NotFungi
1121,19567,Fungi
1122,19568,NotFungi
1123,19570,Fungi
1124,19571,Fungi
1125,19576,NotFungi
1126,19577,NotFungi
1127,19581,Fungi
1128,19582,NotFungi
1129,19589,Fungi
1130,19590,Fungi
1131,19591,Fungi
1132,19593,NotFungi
1133,19594,Fungi
1134,19596,NotFungi
1135,19597,NotFungi
1136,19599,NotFungi
1137,19601,NotFungi
1138,19603,NotFungi
1139,19604,NotFungi
1140,19605,Fungi
1141,19607,NotFungi
1142,19610,NotFungi
1143,19611,Fungi
1144,19612,NotFungi
1145,19613,NotFungi
1146,19614,NotFungi
1147,19617,NotFungi
1148,19618,NotFungi
1149,19619,Fungi
1150,19621,NotFungi
1151,19623,Fungi
1152,19624,NotFungi
1153,19626,NotFungi
1154,19627,Fungi
1155,19629,NotFungi
1156,19632,NotFungi
1157,19638,Fungi
1158,19641,NotFungi
1159,19642,NotFungi
1160,19643,NotFungi
1161,19645,NotFungi
1162,19646,Fungi
1163,19647,Fungi
1164,19648,Fungi
1165,19649,Fungi
1166,19650,Fungi
1167,19651,Fungi
1168,19652,NotFungi
1169,19656,NotFungi
1170,19661,NotFungi
1171,19667,Fungi
1172,19668,Fungi
1173,19669,Fungi
1174,19670,Fungi
1175,19671,Fungi
1176,19672,Fungi
1177,19673,Fungi
1178,19674,Fungi
1179,19675,Fungi
1180,19676,Fungi
1181,19677,Fungi
1182,19678,Fungi
1183,19679,Fungi
1184,19681,NotFungi
1185,19682,NotFungi
1186,19683,NotFungi
1187,19685,NotFungi
1188,19686,Fungi
1189,19690,NotFungi
1190,19691,NotFungi
1191,19692,NotFungi
1192,19693,NotFungi
1193,19694,NotFungi
1194,19695,NotFungi
1195,19696,NotFungi
1196,19698,NotFungi
1197,19699,NotFungi
1198,19700,NotFungi
1199,19701,NotFungi
1200,19702,Fungi
1201,19703,NotFungi
1202,19704,NotFungi
1203,19705,NotFungi
1204,19706,NotFungi
1205,19709,Fungi
1206,19710,NotFungi
1207,19711,NotFungi
1208,19712,NotFungi
1209,19713,Fungi
1210,19714,Fungi
1211,19717,Fungi
1212,19718,Fungi
1213,19720,Fungi
1214,19721,NotFungi
1215,19724,Fungi
1216,19727,Fungi
1217,19728,Fungi
1218,19729,Fungi
1219,19730,Fungi
1220,19731,Fungi
1221,19732,Fungi
1222,19733,Fungi
1223,19734,Fungi
1224,19735,Fungi
1225,19736,Fungi
1226,19737,Fungi
1227,19738,Fungi
1228,19739,Fungi
1229,19740,NotFungi
1230,19742,Fungi
1231,19744,NotFungi
1232,19745,NotFungi
1233,19746,Fungi
1234,19750,Fungi
1235,19753,Fungi
1236,19756,Fungi
1237,19758,NotFungi
1238,19759,Fungi
1239,19761,Fungi
1240,19762,NotFungi
1241,19764,Fungi
1242,19765,Fungi
1243,19766,Fungi
1244,19767,Fungi
1245,19768,Fungi
1246,19769,NotFungi
1247,19770,NotFungi
1248,19771,NotFungi
1249,19774,Fungi
1250,19775,NotFungi
1251,19776,NotFungi
1252,19777,NotFungi
1253,19778,NotFungi
1254,19779,NotFungi
1255,19780,NotFungi
1256,19783,NotFungi
1257,19784,NotFungi
1258,19785,NotFungi
1259,19786,NotFungi
1260,19791,Fungi
1261,19792,Fungi
1262,19793,Fungi
1263,19794,Fungi
1264,19795,NotFungi
1265,19797,NotFungi
1266,19798,Fungi
1267,19800,NotFungi
1268,19801,NotFungi
1269,19802,Fungi
1270,19803,NotFungi
1271,19804,NotFungi
1272,19812,Fungi
1273,19813,NotFungi
1274,19816,NotFungi
1275,19820,Fungi
1276,19822,NotFungi
1277,19823,NotFungi
1278,19824,Fungi
1279,19825,NotFungi
1280,19827,Fungi
1281,19828,Fungi
1282,19829,Fungi
1283,19830,Fungi
1284,19831,Fungi
1285,19835,Fungi
1286,19836,NotFungi
1287,19837,Fungi
1288,19838,NotFungi
1289,19839,NotFungi
1290,19840,NotFungi
1291,19844,Fungi
1292,19845,Fungi
1293,19846,Fungi
1294,19847,Fungi
1295,19848,NotFungi
1296,19849,Fungi
1297,19851,NotFungi
1298,19852,NotFungi
1299,19853,NotFungi
1300,19858,NotFungi
1301,19859,NotFungi
1302,19862,NotFungi
1303,19863,Fungi
1304,19864,Fungi
1305,19867,NotFungi
1306,19868,NotFungi
1307,19869,Fungi
1308,19870,Fungi
1309,19871,NotFungi
1310,19872,NotFungi
1311,19873,Fungi
1312,19876,NotFungi
1313,19878,NotFungi
1314,19881,NotFungi
1315,19882,NotFungi
1316,19883,Fungi
1317,19884,Fungi
1318,19885,Fungi
1319,19886,Fungi
1320,19889,NotFungi
1321,19890,NotFungi
1322,19891,NotFungi
1323,19892,NotFungi
1324,19893,NotFungi
1325,19894,Fungi
1326,19895,Fungi
1327,19896,Fungi
1328,19900,NotFungi
1329,19904,Fungi
1330,19905,Fungi
1331,19906,Fungi
1332,19907,Fungi
1333,19908,Fungi
1334,19909,Fungi
1335,19910,Fungi
1336,19911,NotFungi
1337,19912,NotFungi
1338,19913,NotFungi
1339,19914,NotFungi
1340,19916,Fungi
1341,19917,NotFungi
1342,19918,NotFungi
1343,19919,Fungi
1344,19920,NotFungi
1345,19921,NotFungi
1346,19922,Fungi
1347,19923,NotFungi
1348,19928,Fungi
1349,19929,Fungi
1350,19930,Fungi
1351,19931,Fungi
1352,19938,Fungi
1353,19949,Fungi
1354,19965,Fungi
